Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010732.436039935,-14.2146,-11.8087,0,0,0,0
1536010732.440044096,-14.2146,-11.8087,0,0,0,0
1536010732.444043788,-14.2146,-11.8087,0,0,0,0
1536010732.448040313,-14.2146,-11.8087,0,0,0,0
1536010732.452044338,-14.2146,-11.8087,0,0,0,0
1536010732.456041084,-14.2146,-11.8087,0,0,0,0
1536010732.460041714,-14.2146,-11.8087,0,0,0,0
1536010732.464063606,-14.2146,-11.8087,0,0,0,0
1536010732.468040942,-14.2146,-11.8087,0,0,0,0
1536010732.472041311,-14.2146,-11.8087,0,0,0,0
1536010732.476057647,-14.2146,-11.8087,-0.028,0.016,0,0
1536010732.480041941,-14.2146,-11.8087,-0.026,0.01,0,0
1536010732.484042335,-14.2146,-11.8087,-0.013,0.02,0,0
1536010732.488043956,-14.2146,-11.8087,0.006,0.041,0,0
1536010732.492040435,-14.2146,-11.8087,0.031,0.057,0,0
1536010732.496042468,-14.2146,-11.8087,0.053,0.058,0,0
1536010732.500042036,-14.2146,-11.8087,0.062,0.049,0,0
1536010732.504040650,-14.2146,-11.8087,0.051,0.039,0,0
1536010732.508041609,-14.2146,-11.8087,0.023,0.037,0,0
1536010732.512042585,-14.2146,-11.8087,-0.009,0.038,0,0
1536010732.516044055,-14.2146,-11.8087,-0.034,0.034,0,0
1536010732.520044208,-14.2146,-11.8087,-0.044,0.02,0,0
1536010732.524045563,-14.2146,-11.8087,-0.043,0.003,0,0
1536010732.528042626,-14.2146,-11.8087,-0.038,-0.004,0,0
1536010732.532041353,-14.2146,-11.8087,-0.031,0,0,0
1536010732.536041349,-14.2146,-11.8087,-0.025,0.008,0,0
1536010732.540041802,-14.2146,-11.8087,-0.016,0.011,0,0
1536010732.544041053,-14.2146,-11.8087,-0.003,0.003,0,0
1536010732.548042306,-14.2146,-11.8087,0.017,-0.007,0,0
1536010732.552044165,-14.2146,-11.8087,0.042,-0.014,0,0
1536010732.556044496,-14.2146,-11.8087,0.063,-0.012,0,0
1536010732.560044602,-14.2146,-11.8087,0.066,-0.003,0,0
1536010732.564044311,-14.2146,-11.8087,0.045,0.007,0,0
1536010732.568042640,-14.2146,-11.8087,0.006,0.014,0,0
1536010732.572042056,-14.2146,-11.8087,-0.028,0.012,0,0
1536010732.576043744,-14.2146,-11.8087,-0.04,-0.001,0,0
1536010732.580044291,-14.2146,-11.8087,-0.024,-0.024,0,0
1536010732.584044010,-14.2146,-11.8087,0.006,-0.045,0,0
1536010732.588041404,-14.2146,-11.8087,0.029,-0.05,0,0
1536010732.592042942,-14.2146,-11.8087,0.03,-0.035,0,0
1536010732.596041396,-14.2146,-11.8087,0.012,-0.006,0,0
1536010732.600043434,-14.2146,-11.8087,-0.006,0.018,0,0
1536010732.604043750,-14.2146,-11.8087,-0.013,0.028,0,0
1536010732.608041627,-14.2146,-11.8087,-0.008,0.021,0,0
1536010732.612043655,-14.2146,-11.8087,0,0.01,0,0
1536010732.616043547,-14.2146,-11.8087,0.005,0.007,0,0
1536010732.620043572,-14.2146,-11.8087,0.005,0.011,0,0
1536010732.624043198,-14.2146,-11.8087,0.001,0.016,0,0
1536010732.628040657,-14.2146,-11.8087,-0.002,0.011,0,0
1536010732.632043053,-14.2146,-11.8087,-0.005,-0.001,0,0
1536010732.636043380,-14.2146,-11.8087,-0.002,-0.015,0,0
1536010732.640043370,-14.2146,-11.8087,0.004,-0.023,0,0
1536010732.644043363,-14.2146,-11.8087,0.01,-0.026,0,0
1536010732.648042296,-14.2146,-11.8087,0.002,-0.028,0,0
1536010732.652040681,-14.2146,-11.8087,-0.019,-0.027,0,0
1536010732.656047963,-14.2146,-11.8087,-0.041,-0.018,0,0
1536010732.660043288,-14.2146,-11.8087,-0.041,0,0,0
1536010732.664042190,-14.2146,-11.8087,-0.012,0.021,0,0
1536010732.668041521,-14.2146,-11.8087,0.026,0.027,0,0
1536010732.672043109,-14.2146,-11.8087,0.044,0.011,0,0
1536010732.676043322,-14.2146,-11.8087,0.022,-0.019,0,0
1536010732.680043880,-14.2146,-11.8087,-0.025,-0.044,0,0
1536010732.684044114,-14.2146,-11.8087,-0.069,-0.048,0,0
1536010732.688042721,-14.2146,-11.8087,-0.08,-0.03,0,0
1536010732.692044152,-14.2146,-11.8087,-0.057,-0.002,0,0
1536010732.696044176,-14.2146,-11.8087,-0.016,0.021,0,0
1536010732.700043979,-14.2146,-11.8087,0.019,0.034,0,0
1536010732.704062212,-14.2146,-11.8087,0.037,0.037,0,0
1536010732.708042587,-14.2146,-11.8087,0.037,0.031,0,0
1536010732.712060734,-14.2146,-11.8087,0.025,0.021,0,0
1536010732.716042068,-14.2146,-11.8087,0.007,0.007,0,0
1536010732.720041504,-14.2146,-11.8087,-0.006,-0.006,0,0
1536010732.724042188,-14.2146,-11.8087,-0.005,-0.016,0,0
1536010732.728043337,-14.2146,-11.8087,0.011,-0.019,0,0
1536010732.732041833,-14.2146,-11.8087,0.036,-0.015,0,0
1536010732.736042543,-14.2146,-11.8087,0.053,-0.007,0,0
1536010732.740042204,-14.2146,-11.8087,0.054,-0.002,0,0
1536010732.744040975,-14.2146,-11.8087,0.042,-0.007,0,0
1536010732.748040075,-14.2146,-11.8087,0.025,-0.024,0,0
1536010732.752043484,-14.2146,-11.8087,0.014,-0.046,0,0
1536010732.756043407,-14.2146,-11.8087,0.01,-0.06,0,0
1536010732.760043565,-14.2146,-11.8087,0.012,-0.052,0,0
1536010732.764043038,-14.2146,-11.8087,0.018,-0.019,0,0
1536010732.768061393,-14.2146,-11.8087,0.027,0.03,0,0
1536010732.772044425,-14.2146,-11.8087,0.033,0.074,0,0
1536010732.776043952,-14.2146,-11.8087,0.032,0.091,0,0
1536010732.780044093,-14.2146,-11.8087,0.024,0.076,0,0
1536010732.784043193,-14.2146,-11.8087,0.011,0.041,0,0
1536010732.788043383,-14.2146,-11.8087,0,0.01,0,0
1536010732.792043152,-14.2146,-11.8087,-0.009,-0.006,0,0
1536010732.796044042,-14.2146,-11.8087,-0.019,-0.014,0,0
1536010732.800044106,-14.2146,-11.8087,-0.029,-0.022,0,0
1536010732.804043387,-14.2146,-11.8087,-0.034,-0.033,0,0
1536010732.808043421,-14.2146,-11.8087,-0.025,-0.037,0,0
1536010732.812043160,-14.2146,-11.8087,-0.002,-0.026,0,0
1536010732.816043161,-14.2146,-11.8087,0.02,-0.004,0,0
1536010732.820043121,-14.2146,-11.8087,0.032,0.02,0,0
1536010732.824042998,-14.2146,-11.8087,0.027,0.04,0,0
1536010732.828043087,-14.2146,-11.8087,0.018,0.058,0,0
1536010732.832041470,-14.2146,-11.8087,0.017,0.072,0,0
1536010732.836043159,-14.2146,-11.8087,0.025,0.073,0,0
