Time,Fx,Fy,Fx_actual,Fy_actual,Sep1,Sep2
1536010509.342073935,-0.958626,0,-0.053,-0.087,0.000976418,0.000716023
1536010509.346073724,-0.958626,0,-0.072,-0.113,0.000976418,0.000716023
1536010509.350083852,-0.958626,0,-0.061,-0.126,0.000976418,0.000716023
1536010509.354074695,-0.958626,0,-0.03,-0.13,0.000976418,0.000716023
1536010509.358074763,-0.958626,0,0.003,-0.131,0.000976418,0.000716023
1536010509.362074615,-0.958626,1.01155,0.024,-0.132,0.000976418,0.000716023
1536010509.366076159,-0.958626,1.01155,0.024,-0.135,0.000976418,0.000716023
1536010509.370073994,-0.958626,0,0.004,-0.138,0.000976418,0.000716023
1536010509.374073793,-0.958626,0,-0.027,-0.14,0.000976418,0.000716023
1536010509.378074101,-0.958626,0,-0.059,-0.139,0.000976418,0.000716023
1536010509.382074474,-0.958626,0,-0.079,-0.133,0.000976418,0.000716023
1536010509.386074666,-0.958626,0,-0.079,-0.12,0.000976418,0.000716023
1536010509.390074421,-0.958626,0,-0.059,-0.101,0.000976418,0.000716023
1536010509.394074824,-0.958626,0,-0.031,-0.083,0.000976418,0.000716023
1536010509.398076373,-0.958626,0,-0.009,-0.074,0.000976418,0.000716023
1536010509.402076309,-0.958626,0,-0.007,-0.078,0.000976418,0.000716023
1536010509.406083604,-0.958626,0,-0.024,-0.087,0.000976418,0.000716023
1536010509.410074502,-0.958626,0,-0.05,-0.089,0.000976418,0.000716023
1536010509.414080492,-0.958626,0,-0.072,-0.075,0.000976418,0.000716023
1536010509.418075185,-0.958626,0,-0.079,-0.048,0.000976418,0.000716023
1536010509.422074544,-0.958626,0,-0.071,-0.023,0.000976418,0.000716023
1536010509.426075220,-0.958626,0,-0.053,-0.016,0.000976418,0.000716023
1536010509.430074634,-0.958626,0,-0.035,-0.03,0.000976418,0.000716023
1536010509.434075683,-0.958626,0,-0.023,-0.061,0.000976418,0.000716023
1536010509.438074464,-0.958626,0,-0.022,-0.094,0.000976418,0.000716023
1536010509.442086863,-0.958626,0,-0.031,-0.118,0.000976418,0.000716023
1536010509.446078767,-0.958626,0,-0.045,-0.127,0.000976418,0.000716023
1536010509.450078206,-0.958626,0,-0.059,-0.123,0.000976418,0.000716023
1536010509.454078165,-0.958626,0,-0.068,-0.113,0.000976418,0.000716023
1536010509.458078127,-0.958626,0,-0.064,-0.106,0.000976418,0.000716023
1536010509.462086599,-0.958626,0,-0.048,-0.109,0.000976418,0.000716023
1536010509.466077818,-0.958626,0,-0.027,-0.119,0.000976418,0.000716023
1536010509.470078523,-0.958626,0,-0.012,-0.126,0.000976418,0.000716023
1536010509.474099394,-0.958626,0,-0.01,-0.123,0.000976418,0.000716023
1536010509.478082324,-0.958626,0,-0.019,-0.109,0.000976418,0.000716023
